Ingredient,Type,Purpose,Skin Type
Squalane,Plant-derived Oil,"Moisturizing, anti-aging, soothing",All skin types
Niacinamide,Active Ingredient,"Brightening, anti-inflammatory, soothing",All skin types
Jojoba Esters,Plant-derived Oil,"Moisturizing, balancing, emollient",All skin types
Centella Asiatica Extract,Plant Extract,"Healing, soothing, anti-inflammatory","Sensitive, Dry"
Behenyl Alcohol,Fatty Alcohol,"Emulsifying, conditioning, thickening","Dry, Sensitive"
Leuconostoc/Radish Root Filtrate,Fermented Ingredient,"Preservative, antimicrobial",All skin types
Adenosine,Active Ingredient,"Anti-aging, soothing, anti-inflammatory",All skin types
Allantoin,Active Ingredient,"Soothing, healing, moisturizing","Sensitive, Dry"
Lactobacillus,Fermented Ingredient,"Probiotic, skin barrier strengthening",All skin types
Cocos Nucifera Fruit Extract,Plant Extract,"Hydrating, soothing, antioxidant","Dry, Sensitive"
Sodium Polyacrylate,Synthetic Polymer,"Thickening agent, stabilizer",All skin types
Betaine,Amino Acid Derivative,"Moisturizing, skin-conditioning agent","Dry, sensitive"
Panthenol,Vitamin B5,"Moisturizing, soothing, anti-inflammatory","Dry, sensitive, all types"
Aloe Barbadensis Extract,Plant Extract,"Soothing, moisturizing, anti-inflammatory","Dry, sensitive"
Calendula Officinalis Flower Extract,Plant Extract,"Healing, anti-inflammatory, soothing","Sensitive, all types"
PPG-15 Stearyl Ether,Synthetic Compound,"Emollient, skin-conditioning agent",All skin types
Steareth-2,Surfactant,"Emulsifying agent, cleansing",All skin types
Steareth-21,Surfactant,"Emulsifying agent, stabilizer",All skin types
Cetearyl Ethylhexanoate,Ester,"Emollient, skin-softening agent","Dry, sensitive"
Madecassoside,Plant Extract,"Healing, anti-inflammatory","Sensitive, all types"
Acetyl Glucosamine,Amino Sugar,"Hydrating, skin barrier repair","Dry, sensitive"
Hydrolyzed Fibronectin,Protein,"Skin conditioning, repair",All skin types
PEG-4 Proline Linolenate,"Emollient, Surfactant","Skin-conditioning, antioxidant","Dry, sensitive"
Ceramide 3,Lipid,"Skin barrier repair, moisturizing","Dry, sensitive"
Asiaticoside,Plant Extract,"Soothing, anti-inflammatory, healing","Sensitive, all types"
Ceramide 6 II,Lipid,"Skin barrier repair, moisturizing","Dry, sensitive"
Benzyl PCA,Humectant,"Moisturizing, skin-conditioning agent","Dry, sensitive"
Phytosphingosine,Lipid,"Skin-soothing, barrier repair","Dry, sensitive, oily"
Glycine Soja Protein (Soybean Protein),Protein,"Skin conditioning, anti-aging",All skin types
Ceramide 1,Lipid,"Skin barrier repair, moisturizing","Dry, sensitive"
Sodium Lauroyl Lactylate,Surfactant,"Emulsifier, gentle cleansing agent",All skin types
Dicaprylyl Carbonate,Ester,"Emollient, skin-softening agent",All skin types
Olus Oil,Plant Oil,"Emollient, moisturizing","Dry, sensitive"
Shorea Stenoptera Seed Butter,Plant Butter,"Moisturizing, skin-softening","Dry, sensitive"
Glyceryl Stearate Citrate,Emulsifier,"Emulsifying, stabilizing agent",All skin types
Cholesterol,Lipid,"Skin barrier repair, moisturizing","Dry, sensitive"
Ceramide NP,Lipid,"Skin barrier repair, moisturizing","Dry, sensitive"
Isocetyl Alcohol,Fatty Alcohol,"Emollient, skin-conditioning agent",All skin types
Ethylhexylglycerin,Humectant,"Moisturizing, skin-conditioning",All skin types
Niacinamide,Vitamin,"Skin brightening, anti-inflammatory",All skin types
Isopropyl Myristate,Ester,"Solvent, skin penetration enhancer",All skin types
Butyl Methoxydibenzoylmethane,Sunscreen Agent,UV protection (UVB absorption),All skin types
Glutamic Acid,Amino Acid,"Moisturizing, skin-conditioning",All skin types
Hydroxystearic Acid,Fatty Acid,"Emollient, stabilizing agent",All skin types
Pyridoxine Hydrochloride,Vitamin B6,"Skin healing, anti-inflammatory",All skin types
Sodium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, skin brightening",All skin types
Sodium PCA,Humectant,"Moisturizing, skin conditioning","Dry, sensitive"
Methyl Paraben,Preservative,"Antimicrobial, preservation",All skin types
Propylparaben,Preservative,"Antimicrobial, preservation",All skin types
Aluminum Hydroxide,Inorganic Compound,Sunscreen agent,Sensitive
Titanium Dioxide,Sunscreen Agent,UV protection (UVA & UVB reflection),Sensitive
Butylphenyl Methylpropional,Fragrance,Fragrance,All skin types
Citronellol,Fragrance,"Fragrance, masking agent","Sensitive, dry"
Hexyl Cinnamal,Fragrance,Fragrance,"Sensitive, dry"
Linalool,Fragrance,Fragrance,"Sensitive, dry"
Glyceryl Monostearate,"Ester, Emulsifier","Emulsifying agent, stabilizer",All skin types
FD&C Yellow No. 6,Synthetic Dye,Colorant,All skin types
Vitamin E,Vitamin,"Antioxidant, skin conditioning",All skin types
Mineral Oil,Oil,"Emollient, moisturizer","Dry, sensitive"
Lanolin,Wax,"Emollient, moisturizing","Dry, sensitive"
Alpha-Isomethyl Ionone,Fragrance,"Fragrance, masking agent","Sensitive, dry"
Hydroxycitronellol,Fragrance,"Fragrance, masking agent","Sensitive, dry"
Cinnamyl Alcohol,Fragrance,Fragrance,"Sensitive, dry"
Geraniol,Fragrance,Fragrance,"Sensitive, dry"
Persea Americana (Avocado) Oil,Plant Oil,"Emollient, moisturizing, nourishing","Dry, sensitive, normal"
Carthamus Tinctorius (Safflower) Oleosomes,Plant Oil,"Emollient, moisturizing","Dry, sensitive, normal"
Theobroma Grandiflorum (Capuacu) Seed Butter,Plant Butter,"Moisturizing, emollient","Dry, sensitive, normal"
Citrullus Vulgaris (Watermelon) Fruit Extract,Plant Extract,"Hydrating, antioxidant, soothing","Dry, sensitive, normal"
Pyrus Malus (Apple) Fruit Extract,Plant Extract,"Antioxidant, skin conditioning","Dry, sensitive, normal"
Lens Esculenta (Lentil) Fruit Extract,Plant Extract,"Moisturizing, brightening","Dry, sensitive, normal"
Sodium PCA,Humectant,"Hydration, skin conditioning","Dry, sensitive, normal"
Sodium Lactate,Humectant,"Moisturizing, pH regulator","Dry, sensitive, normal"
Olea Europea (Olive) Oil,Plant Oil,"Emollient, antioxidant, moisturizing","Dry, sensitive, normal"
Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables,Plant Oil,"Emollient, nourishing","Dry, sensitive, normal"
Lonicera Caprifolium (Honeysuckle) Flower Extract,Plant Extract,"Antioxidant, soothing","Sensitive, dry, normal"
Hydrolyzed Corn Protein,Protein,"Strengthens, conditions",All skin types
Sclerotium Gum,Polysaccharide,"Thickening agent, stabilizer",All skin types
Organic Essential Oils Of Neroli,Essential Oil,"Fragrance, soothing, calming","Sensitive, dry"
Lemongrass Essential Oil,Essential Oil,"Antioxidant, fragrance, refreshing","Sensitive, oily"
Petitgrain Essential Oil,Essential Oil,"Antioxidant, fragrance, calming","Sensitive, oily"
Orange Essential Oil,Essential Oil,"Antioxidant, fragrance, refreshing","Sensitive, oily"
Pelargonium Graveolens Flower Water,Floral Water,"Hydrating, soothing","Sensitive, dry"
Isoamyl Laurate,Ester,"Emollient, solvent","Dry, sensitive"
Cetearyl Glucoside,Emulsifier,"Emulsification, skin conditioning",All skin types
Glycine Soja (Soybean) Seed Extract,Plant Extract,"Antioxidant, moisturizing","Sensitive, dry"
Limnanthes Alba (Meadowfoam) Seed Oil,Plant Oil,"Emollient, moisturizing, nourishing","Dry, sensitive, normal"
Dihydroxyacetone,Sugar Derivative,"Self-tanning, skin conditioning","Dry, sensitive"
Lauryl Laurate,Ester,"Emollient, emulsifier","Sensitive, dry"
Propanediol,Humectant,"Moisturizing, solvent","Sensitive, dry"
Paeonia Lactiflora Pall Seed Extract,Plant Extract,"Antioxidant, soothing","Sensitive, dry"
Lentinus Edodes Extract,Fungus Extract,"Antioxidant, soothing","Dry, sensitive"
Plukenetia Volubilis Seed Oil,Plant Oil,"Emollient, moisturizing, soothing","Dry, sensitive"
Simmondsia Chinensis (Jojoba) Seed Oil,Plant Oil,"Moisturizing, soothing",All skin types
Rosa Damascena (Rose) Extract,Plant Extract,"Antioxidant, soothing, fragrance","Sensitive, dry"
Daucus Carota Sativa (Carrot) Seed Oil,Plant Oil,"Antioxidant, skin conditioning","Sensitive, dry"
Sambucus Nigra Fruit Extract,Plant Extract,"Antioxidant, soothing","Sensitive, dry"
Calendula Officinalis Flower Extract,Plant Extract,"Anti-inflammatory, soothing","Sensitive, dry"
Althaea Officinalis Root Extract,Plant Extract,"Soothing, anti-inflammatory","Sensitive, dry"
Helichrysum Italicum (Flower) Oil,Essential Oil,"Soothing, antioxidant, anti-inflammatory","Sensitive, dry"
Phenylpropanol,Aromatic Alcohol,"Fragrance, preservative",All skin types
Benzyl Alcohol,Alcohol,"Preservative, fragrance","Sensitive, dry"
Ethylhexylglycerin,Glycol Derivative,"Skin conditioning, antimicrobial","Sensitive, dry"
Coffea Arabica Seed Oil,Plant Oil,"Antioxidant, soothing","Sensitive, dry"
Diamond Powder,Powder,"Exfoliating, skin brightening",All skin types
Salicylic Acid,Beta-Hydroxy Acid (BHA),"Exfoliating, acne treatment","Oily, acne-prone"
Sorbic Acid,Acid,Preservative,All skin types
Helichrysum Italicum,Essential Oil,"Soothing, anti-inflammatory","Sensitive, dry"
Bisabolol,Essential Oil,"Soothing, anti-inflammatory","Sensitive, dry"
Rosa Damascena Flower Water,Floral Water,"Hydrating, soothing","Sensitive, dry"
Rosa Alba Flower Extract,Plant Extract,"Soothing, antioxidant","Sensitive, dry"
Rosa Rubiginosa Seed Oil,Plant Oil,"Anti-aging, moisturizing","Sensitive, dry"
Vitis Vinifera (Grape) Seed Oil,Plant Oil,"Antioxidant, moisturizing",All skin types
Arachidyl Alcohol,Fatty Alcohol,"Emollient, emulsifier",All skin types
Myristyl Alcohol,Fatty Alcohol,"Emollient, emulsifier",All skin types
Behenyl Alcohol,Fatty Alcohol,"Emollient, emulsifier",All skin types
Myristyl Glucoside,Glycoside,"Emulsifier, cleanser",All skin types
Arachidyl Glucoside,Glycoside,"Emulsifier, skin conditioning",All skin types
Aniba Rosaeodora (Rosewood) Wood Oil,Essential Oil,"Soothing, aromatic","Sensitive, dry"
Rosa Damascena Flower Oil,Essential Oil,"Fragrance, soothing, anti-aging","Sensitive, dry"
Lactic Acid,Alpha-Hydroxy Acid (AHA),"Exfoliating, skin conditioning","Dry, sensitive"
Benzyl Benzoate,Ester,"Fragrance, solvent",All skin types
Citronellol,Alcohol,"Fragrance, skin soothing","Sensitive, dry"
Geraniol,Alcohol,"Fragrance, antioxidant","Sensitive, dry"
Limonene,Terpene,"Fragrance, antioxidant","Sensitive, dry"
Linalol,Alcohol,"Fragrance, soothing","Sensitive, dry"
Carthamus Tinctorius (Safflower) Seed Oil,Plant Oil,"Moisturizing, soothing","Sensitive, dry"
Caprylic/Capric Triglyceride,Plant-derived Oil,"Emollient, moisturizing",All skin types
Biosaccharide Gum-1,Sugar-derived Polymer,"Moisturizing, soothing",All skin types
Tetrahexyldecyl Ascorbate,Vitamin C Derivative,"Antioxidant, brightening, anti-aging",All skin types
Algae Extract,Plant Extract,"Hydrating, anti-aging",All skin types
Mentha Piperita (Peppermint) Oil,Essential Oil,"Cooling, refreshing","Oily, acne-prone"
Frankincense Oil Extract,Essential Oil,"Anti-aging, soothing","Dry, sensitive"
Mugwort (Artemesia Vulgaris) Extract,Plant Extract,"Soothing, calming","Sensitive, irritated"
Retinyl Palmitate,Vitamin A Derivative,"Anti-aging, skin renewal","Mature, sensitive"
Polyglyceryl-6 Distearate,Surfactant/Emulsifier,"Emulsifying, stabilizing",All skin types
Hydrogenated Ethylhexyl Olivate,Ester/Emollient,"Moisturizing, softening","Dry, sensitive"
C10-18 Triglycerides,Plant-derived Oil,"Emollient, moisturizing",All skin types
Caffeine,Active Ingredient,"Anti-inflammatory, energizing, anti-aging",All skin types
Microcrystalline Cellulose,Thickener,"Texturizing, stabilizing",All skin types
Cellulose Gum,Thickener/Emulsifier,"Stabilizing, texturizing",All skin types
Sodium Phytate,Chelating Agent,"Stabilizing, preserving",All skin types
Octyldodecanol,Fatty Alcohol/Emollient,"Emollient, skin conditioning",All skin types
Polyglyceryl-3 Dicitrate/Stearate,Surfactant/Emulsifier,"Emulsifying, stabilizing",All skin types
Coco-Caprylate,Ester/Emollient,"Moisturizing, emollient","Dry, sensitive"
Sodium Dehydroacetate,Preservative,"Preserving, antimicrobial",All skin types
Sodium Stearoyl Glutamate,Emulsifier/Surfactant,"Stabilizing, emulsifying",All skin types
Helianthus Annuus Seed Oil,Plant Oil,"Moisturizing, emollient",All skin types
Purslane Extract,Plant Extract,"Antioxidant, anti-inflammatory, soothing","Sensitive, dry"
Skullcap,Plant Extract,"Anti-inflammatory, calming, antioxidant",Sensitive
Corn Oil,Plant Oil,"Moisturizing, antioxidant","Dry, sensitive"
Heptyl Undecylenate,Ester,"Emollient, skin-conditioning, smoothing","Dry, sensitive"
Polyglyceryl-2 Stearate,Ester,"Emulsifying, stabilizing",All skin types
Citrus Aurantium Amara Flower Water,Plant Extract,"Toner, soothing, antioxidant","Sensitive, oily"
Ferulic Acid,Antioxidant,"Anti-aging, antioxidant, stabilizing",All skin types
Hydrolyzed Hyaluronic Acid,Moisturizer,"Deep hydration, anti-aging","Dry, aging skin"
Origanum Majorana Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory, antimicrobial","Sensitive, acne-prone"
Maltodextrin,Carbohydrate,"Skin conditioning, texturizer",All skin types
Oryza Sativa Starch,Plant Starch,"Absorbent, soothing","Oily, acne-prone"
C12-15 Alkyl Benzoate,Ester,"Emollient, solvent","Dry, sensitive"
Hydroxyethyl Urea,Humectant,"Moisturizing, skin conditioning","Dry, sensitive"
Ethylhexyl Methoxycinnamate,Active Ingredient,"UV filter, sunscreen agent",All skin types
Sodium Acrylate/Acryloyldimethyl Taurate Copolymer,Polymer,"Thickener, stabilizer",All skin types
Isohexadecane,Hydrocarbon,"Emollient, solvent","Oily, acne-prone"
Polysorbate 80,Surfactant,"Emulsifying, solubilizing",All skin types
Hydroxypropyl Cyclodextrin,Cyclodextrin,"Stabilizer, encapsulating agent",All skin types
Palmitoyl Tripeptide-38,Peptide,"Anti-aging, skin rejuvenation","Mature, dry skin"
Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine,Peptide,"Anti-aging, collagen synthesis stimulation",Mature skin
Palmitoyl Dipeptide-6 Diaminohydroxybutyrate,Peptide,"Skin rejuvenation, anti-aging",Mature skin
Phenethyl Alcohol,Alcohol,"Preservative, fragrance",All skin types
Caprylyl Glycol,Glycol,"Moisturizing, skin conditioning","Dry, sensitive"
Ethylhexyl-Glycerin,Glycol,"Preservative, skin conditioning",All skin types
Resveratrol,Polyphenol,"Antioxidant, anti-aging","Sensitive, mature skin"
Coenzyme Q10 (Ubiquinone),Antioxidant,"Skin repair, anti-aging","Mature, dry skin"
Acai Extract (Euterpe Oleracea Fruit Extract),Fruit Extract,"Antioxidant, skin conditioning",All skin types
White Tea Extract (Camellia Sinensis Extract),Tea Extract,"Antioxidant, soothing","Sensitive, dry skin"
Pomegranate Seed Extract (Punica Granatum Seed Extract),Fruit Extract,"Antioxidant, anti-aging",All skin types
Tocotrienol (Vitamin E),Vitamin,"Antioxidant, anti-aging",All skin types
Lime Extract (Citrus Aurantifolia Extract),Citrus Extract,"Brightening, antioxidant","Oily, acne-prone"
Di-C12-15 Alkyl Fumarate,Emollient,"Provides smooth texture, softens skin",All skin types
Glycerin,Humectant,"Retains moisture, hydrates skin","Dry, sensitive skin"
Squalane,Emollient,Moisturizes and softens skin,All skin types
Cetyl Ethylhexanoate,Emollient,Provides smooth application,All skin types
Myristyl Myristate,Emollient,"Enhances texture, softens skin",All skin types
Butyrospermum Parkii (Shea) Butter,Occlusive/Emollient,"Deeply moisturizes, soothes skin","Dry, sensitive skin"
Propanediol,Humectant,"Retains moisture, enhances absorption",All skin types
Phytosteryl/Octyldodecyl Lauroyl Glutamate,Emollient,Enhances texture and hydration,All skin types
Steareth-2,Surfactant,"Emulsifies, improves formulation stability",All skin types
Magnesium Aluminum Silicate,Thickener,"Improves texture, stabilizes formulations",All skin types
Panthenol,Pro-vitamin,"Hydrates, soothes, and repairs skin",All skin types
Synthetic Wax,Thickener/Film-former,"Enhances texture, creates a protective layer",All skin types
"1,2-Hexanediol",Solvent,"Hydrates, enhances formulation stability",All skin types
Adenosine,Anti-aging agent,Reduces fine lines and wrinkles,All skin types
Beta-Carotene,Antioxidant,Protects skin from oxidative stress,All skin types
Beta-Glucan,Soothing agent,Calms and moisturizes skin,Sensitive skin
Cocos Nucifera (Coconut) Oil,Emollient,Moisturizes and softens,"Dry, sensitive skin"
Daucus Carota Sativa (Carrot) Root Extract,Antioxidant,Protects and nourishes skin,All skin types
Sodium Hyaluronate,Humectant,"Retains moisture, plumps skin",All skin types
Niacinamide,Vitamin (B3),"Brightens skin, reduces inflammation",All skin types
Cetyl Alcohol,Emollient/Stabilizer,"Softens skin, thickens formulations",All skin types
Isopropyl Myristate,Emollient,"Improves texture, enhances absorption",All skin types
